"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.755126690E-1,-9.162971983E-4,-1.511890348E-2,-4.276053514E-3
6.776378770E-1,-5.803215317E-3,-2.901607659E-3,-5.497782957E-3
6.797630860E-1,-2.138026757E-3,1.985310577E-3,-5.497782957E-3
6.818882940E-1,-2.138026757E-3,6.872228812E-3,-3.054323839E-3
6.840135020E-1,-4.581485875E-3,6.872228812E-3,-1.832594397E-3
6.861387110E-1,-5.803215317E-3,-5.345067009E-3,-6.108647794E-4
6.882639190E-1,-5.803215317E-3,-1.023198478E-2,-5.497782957E-3
6.903891270E-1,-7.024944760E-3,-2.901607659E-3,-5.497782957E-3
6.925143360E-1,-1.069013402E-2,9.315688163E-3,-4.276053514E-3
6.946395440E-1,-1.069013402E-2,1.053741761E-2,-3.054323839E-3
6.967647520E-1,-5.803215317E-3,5.650499370E-3,-6.108647794E-4
6.988899610E-1,-3.359756200E-3,-2.901607659E-3,-4.276053514E-3
7.010151690E-1,-2.138026757E-3,-7.788525894E-3,-7.941242307E-3
7.031403770E-1,-2.138026757E-3,-1.679878100E-3,-1.038470119E-2
7.052655860E-1,3.054323897E-4,1.175914705E-2,-9.162971750E-3
7.073907940E-1,3.054323897E-4,2.153298259E-2,-9.162971750E-3
7.095160020E-1,1.527161920E-3,1.786779426E-2,-7.941242307E-3
7.116412110E-1,2.748891478E-3,1.053741761E-2,-6.719512399E-3
7.137664190E-1,1.527161920E-3,1.985310577E-3,-6.719512399E-3
7.158916270E-1,1.527161920E-3,7.635809598E-4,-9.162971750E-3
7.180168360E-1,3.054323897E-4,5.650499370E-3,-7.941242307E-3
7.201420440E-1,-2.138026757E-3,1.298087649E-2,-5.497782957E-3
7.222672520E-1,-3.359756200E-3,1.298087649E-2,-4.276053514E-3
7.243924610E-1,-5.803215317E-3,5.650499370E-3,-4.276053514E-3
7.265176690E-1,-3.359756200E-3,6.872228812E-3,-5.497782957E-3
7.286428770E-1,-2.138026757E-3,6.872228812E-3,-6.719512399E-3
