"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.886819400E-1,-1.770688742E-1,1.000199914E0,9.968499184E0
6.908071480E-1,2.871387079E-2,8.901300430E-1,9.853643417E0
6.929323560E-1,1.483550072E-1,7.657032609E-1,9.858428955E0
6.950575650E-1,1.435693651E-1,6.604190469E-1,9.891928673E0
6.971827730E-1,-1.339980662E-1,6.843472719E-1,9.954142570E0
6.993079810E-1,-3.828516304E-1,5.982056856E-1,1.015035343E1
7.014331900E-1,-4.642075896E-1,3.397808075E-1,1.040399265E1
7.035583980E-1,-3.445664644E-1,7.178468257E-2,1.047099209E1
7.056836060E-1,-3.349951655E-2,-1.722832322E-1,1.036570740E1
7.078088150E-1,3.828516230E-2,-2.249253243E-1,1.016949654E1
7.099340230E-1,7.178468257E-2,8.135596663E-2,1.001635551E1
7.120592310E-1,5.264209956E-2,6.077769399E-1,9.858428955E0
7.141844400E-1,-1.244267747E-1,9.284151793E-1,9.915857315E0
7.163096480E-1,4.785645287E-3,8.470591903E-1,9.944570541E0
7.184348560E-1,1.579262912E-1,7.130611539E-1,9.805787086E0
7.205600650E-1,2.679961324E-1,8.279166222E-1,9.537791252E0
7.226852730E-1,7.178468257E-2,8.805587292E-1,9.566504478E0
7.248104810E-1,-2.297109663E-1,8.422735929E-1,9.686145782E0
7.269356900E-1,-5.934200287E-1,7.465606928E-1,9.710074425E0
7.290608980E-1,-6.412764788E-1,6.077769399E-1,9.815358162E0
7.311860540E-1,-3.589234054E-1,3.589234054E-1,9.992427826E0
7.333112630E-1,-5.264209956E-2,1.387837082E-1,9.968499184E0
7.354364710E-1,4.307080805E-2,8.135596663E-2,9.901499748E0
7.375616790E-1,9.092725813E-2,1.148554832E-1,1.001156998E1
7.396868880E-1,-1.674975902E-1,2.201396823E-1,1.006899738E1
7.418120960E-1,-2.679961324E-1,5.120640397E-1,9.887143135E0
7.439373040E-1,-1.914258152E-1,6.412764788E-1,9.915857315E0
7.460625130E-1,-9.092725813E-2,6.843472719E-1,9.958928108E0
7.481877210E-1,1.004985496E-1,7.896314859E-1,9.829715729E0
7.503129290E-1,6.221338734E-2,9.379864931E-1,9.863214493E0
7.524381380E-1,-1.531406492E-1,9.858429432E-1,1.000199890E1
7.545633460E-1,-3.637090325E-1,7.992027402E-1,1.005942631E1
7.566885540E-1,-4.689932466E-1,5.024927258E-1,9.954142570E0
7.588137630E-1,-3.206382394E-1,3.397808075E-1,9.848857880E0
7.609389710E-1,-1.196411327E-1,2.009970993E-1,9.911071777E0
7.630641790E-1,0.000000000E0,1.387837082E-1,9.954142570E0
7.651893880E-1,-9.571290575E-3,1.914258152E-1,9.968499184E0
7.673145960E-1,-2.392822690E-2,8.135596663E-2,1.011206818E1
7.694398040E-1,2.871387079E-2,1.531406492E-1,1.013121128E1
7.715650130E-1,3.110669553E-1,5.024927258E-1,9.877572060E0
7.736902210E-1,4.019941986E-1,7.322037220E-1,9.767501831E0
7.758154290E-1,2.919243574E-1,7.417750359E-1,9.791430473E0
7.779406380E-1,9.571290761E-2,8.614161611E-1,9.686145782E0
7.800658460E-1,-5.264209956E-2,9.044869542E-1,9.585647583E0
7.821910540E-1,-2.297109663E-1,8.183453679E-1,9.638289452E0
7.843162630E-1,-1.866401732E-1,6.221339107E-1,9.619147301E0
7.864414710E-1,-2.919243574E-1,4.642075896E-1,9.528220177E0
7.885666790E-1,-2.536391914E-1,5.264210105E-1,9.561718941E0
7.906918880E-1,-2.440679073E-1,6.077769399E-1,9.891928673E0
7.928170960E-1,-2.775674164E-1,5.264210105E-1,1.026042366E1
7.949423040E-1,-1.244267747E-1,3.732803464E-1,1.036092186E1
7.970674610E-1,-9.571290575E-3,1.004985496E-1,1.041835022E1
7.991926690E-1,9.571290761E-2,1.914258115E-2,1.028913784E1
8.013178770E-1,1.196411327E-1,4.163511395E-1,9.997213364E0
8.034430860E-1,6.699903309E-2,8.039883971E-1,1.002114105E1
8.055682940E-1,-1.674975902E-1,8.662018180E-1,1.016949654E1
8.076935020E-1,-2.632105052E-1,9.140582681E-1,1.007856941E1
8.098187110E-1,-1.387837082E-1,8.470591903E-1,1.002114105E1
8.119439190E-1,-7.178468257E-2,6.987041831E-1,9.911071777E0
8.140691270E-1,-1.770688742E-1,5.503492355E-1,9.791430473E0
8.161943360E-1,-3.206382394E-1,6.029912829E-1,9.762716293E0
8.183195440E-1,-4.259224236E-1,5.647061467E-1,9.968499184E0
8.204447520E-1,-5.072783828E-1,3.780659735E-1,1.019820976E1
8.225699610E-1,-2.775674164E-1,1.531406492E-1,1.034177971E1
8.246951690E-1,4.307080805E-2,-1.100698411E-1,1.035613632E1
