"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.394759970E-1,-9.523434043E-1,1.426122308E0,9.614361763E0
6.416011020E-1,-1.914258152E-1,1.416550994E0,9.934999466E0
6.437262060E-1,4.785645306E-1,9.906286001E-1,1.056191921E1
6.458513620E-1,3.876372576E-1,5.168496966E-1,1.088255692E1
6.479764660E-1,5.407779217E-1,8.183453679E-1,1.089212894E1
6.501015700E-1,2.249253243E-1,1.349551916E0,1.070548820E1
6.522266740E-1,2.392822690E-2,1.048056364E0,1.017906761E1
6.543517790E-1,1.866401732E-1,1.048056364E0,9.719645500E0
6.564768830E-1,4.785645287E-3,1.651047587E0,9.872786522E0
6.586020390E-1,-9.571290761E-2,1.861616015E0,1.018863869E1
6.607271430E-1,-3.828516230E-2,1.234696507E0,1.049013424E1
6.628522470E-1,2.871387079E-2,1.158126116E0,1.078684425E1
6.649773520E-1,-1.627119333E-1,9.954141974E-1,1.071027374E1
6.671024560E-1,-2.249253243E-1,1.038485050E0,1.050927734E1
6.692275600E-1,-3.349951655E-2,1.201196909E0,1.017906761E1
6.713526640E-1,-9.092725813E-2,9.236295223E-1,9.829715729E0
6.734778200E-1,-3.349951804E-1,1.177268744E0,9.887143135E0
6.756029240E-1,-4.689932466E-1,1.928615093E0,9.997213364E0
6.777280290E-1,-1.531406492E-1,1.306481123E0,1.003071213E1
6.798531330E-1,3.924229145E-1,9.092726111E-1,1.002592659E1
6.819782370E-1,4.115654826E-1,7.992027402E-1,1.033220863E1
6.841033410E-1,1.339980662E-1,3.206382394E-1,1.035613632E1
6.862284450E-1,3.541377485E-1,1.148554921E0,1.042792130E1
6.883536020E-1,-1.914258115E-2,1.071984529E0,1.040399265E1
6.904787060E-1,-3.732803464E-1,6.891329288E-1,1.011685371E1
6.926038100E-1,-1.914258115E-2,1.201196909E0,9.958928108E0
6.947289140E-1,-2.392822690E-2,1.493121386E0,9.978070259E0
6.968540180E-1,-2.344966233E-1,1.263410330E0,1.028913784E1
6.989791220E-1,-2.392822653E-1,1.033699393E0,1.060499001E1
7.011042790E-1,-1.196411327E-1,6.699903607E-1,1.056191921E1
7.032293830E-1,2.775674164E-1,7.417750359E-1,1.036570740E1
7.053544870E-1,5.024927258E-1,1.043270707E0,1.004028416E1
7.074795910E-1,2.727817893E-1,6.221339107E-1,9.920642853E0
7.096046950E-1,2.823530734E-1,5.359922647E-1,9.839286804E0
7.117297990E-1,0.000000000E0,1.148554921E0,9.868000984E0
7.138549040E-1,-6.699903607E-1,1.387837172E0,1.000678444E1
7.159800600E-1,-4.307080805E-2,1.354337573E0,1.045663452E1
7.181051640E-1,6.699903607E-1,6.364908218E-1,1.079641533E1
7.202302680E-1,5.024927258E-1,4.977070987E-1,1.074855900E1
7.223553720E-1,2.727817893E-1,1.095912814E0,1.073420238E1
7.244804770E-1,2.584248483E-1,1.249053478E0,1.060020447E1
7.266055810E-1,-4.785645287E-3,9.619147182E-1,1.024606609E1
7.287307370E-1,-2.201396823E-1,8.470591903E-1,9.542576790E0
7.308558410E-1,-3.158525825E-1,1.426122308E0,9.202795982E0
7.329809450E-1,-1.866401732E-1,1.560120344E0,9.470791817E0
7.351060490E-1,-1.483550072E-1,1.086341500E0,9.987641335E0
7.372311540E-1,-1.674975902E-1,8.422735929E-1,1.045184898E1
7.393562580E-1,-4.067798555E-1,7.704889178E-1,1.068634605E1
7.414813620E-1,-1.722832322E-1,1.115055323E0,1.071027374E1
7.436065180E-1,1.244267747E-1,9.762716293E-1,1.031785107E1
7.457316220E-1,-1.770688742E-1,8.997012973E-1,9.772287369E0
7.478567270E-1,-5.264210105E-1,1.282552958E0,9.810572624E0
7.499818310E-1,-4.067798555E-1,1.852044702E0,1.007856941E1
7.521069350E-1,-3.302095234E-1,1.531406522E0,1.034656525E1
7.542320390E-1,-4.785645381E-2,9.762716293E-1,1.029392338E1
7.563571950E-1,2.201396823E-1,6.412764788E-1,9.973284721E0
7.584822990E-1,1.148554832E-1,2.440679073E-1,9.734002113E0
7.606074040E-1,2.057827413E-1,1.024128079E0,9.662218094E0
7.627325080E-1,-2.297109663E-1,1.373480201E0,9.561718941E0
7.648576120E-1,-3.541377485E-1,1.024128079E0,9.446864128E0
7.669827160E-1,1.435693540E-2,1.115055323E0,9.355937004E0
7.691078720E-1,2.153540403E-1,1.564906001E0,9.327222824E0
7.712329770E-1,6.221338734E-2,1.569691658E0,9.580862045E0
7.733580810E-1,1.579262912E-1,1.172483087E0,9.949356079E0
7.754831850E-1,2.153540403E-1,8.949156404E-1,1.005464077E1
7.776082890E-1,9.092725813E-2,8.901300430E-1,9.963713646E0
7.797333930E-1,2.679961324E-1,9.284151793E-1,9.753145218E0
7.818584970E-1,3.493520916E-1,8.757730722E-1,9.518648148E0
7.839836540E-1,2.057827413E-1,8.039883971E-1,9.241081238E0
7.861087580E-1,-2.536391914E-1,1.272981644E0,9.336793900E0
7.882338620E-1,-8.087740541E-1,1.588834286E0,9.882357597E0
7.903589660E-1,-2.919243574E-1,1.349551916E0,1.019342422E1
7.924840700E-1,1.339980662E-1,7.369893789E-1,1.025563812E1
7.946092270E-1,0.000000000E0,3.397808075E-1,1.031785107E1
7.967342790E-1,-3.349951655E-2,4.833501875E-1,1.016471100E1
7.988594350E-1,4.307080805E-2,9.140582681E-1,9.762716293E0
8.009845390E-1,-3.206382394E-1,8.709874153E-1,9.322437286E0
8.031096430E-1,-7.178468257E-2,8.853443861E-1,9.595218658E0
8.052347470E-1,-1.339980662E-1,1.411765337E0,9.868000984E0
8.073598520E-1,-9.092725813E-2,1.660618901E0,1.007378292E1
8.094849560E-1,-4.307080805E-2,1.009771109E0,1.017428207E1
8.116101120E-1,-6.699903309E-2,8.566305041E-1,9.815358162E0
8.137352160E-1,-2.823530734E-1,9.427721500E-1,9.824930191E0
8.158603200E-1,1.914258115E-2,1.143769264E0,1.015513897E1
8.179854240E-1,4.929214716E-1,1.110269666E0,1.026520920E1
8.201105290E-1,2.105683982E-1,9.762716293E-1,1.013599682E1
8.222356330E-1,-2.440679073E-1,1.215553880E0,9.729216576E0
8.243607890E-1,-1.770688742E-1,2.067398787E0,9.466006279E0
8.264858930E-1,-2.679961324E-1,1.689332843E0,9.394221306E0
8.286109970E-1,3.349951655E-2,1.057627559E0,9.260223389E0
8.307361020E-1,1.531406492E-1,6.364908218E-1,9.523433685E0
8.328612060E-1,5.264209956E-2,2.967100143E-1,9.561718941E0
8.349863100E-1,2.727817893E-1,1.048056364E0,9.552147865E0
8.371114140E-1,4.785645287E-3,1.406979680E0,9.399007797E0
8.392365700E-1,-4.067798555E-1,1.115055323E0,9.585647583E0
8.413616740E-1,-7.178468257E-2,1.258624673E0,9.700503349E0
8.434867790E-1,2.488535494E-1,1.665404558E0,9.604789734E0
8.456118830E-1,-9.571290761E-2,1.507478237E0,9.844072342E0
